relation,A,A_upper,A_lower,B,B_upper,B_lower,scat,scat_upper,scat_lower
LX-T,1.521,0.028,0.015,2.454,0.042,0.044,0.120,0.002,0.006
YSZ-T,1.064,0.020,0.015,2.732,0.034,0.034,0.112,0.004,0.006
M-T,1.079,0.010,.010,1.988,0.032,0.024,0.070,0.002,0.004
LX-YSZ,3.027,0.056,0.042,0.862,0.016,0.014,0.140,0.004,0.006
LX-M,1.225,0.017,0.011,1.244,0.014,0.012,0.080,0.004,0.004
YSZ-M,3.759,0.052,0.034,1.360,0.018,0.018,0.096,0.004,0.006
